bands/lf,bands/uf,bands/s,bands/u,bands/v
13750000000,14500000000,Satellite,Satellite (Permanent Earth Station),1
13780000000,14500000000,Satellite,Satellite (Transportable Earth Station)(high power),1
13780000000,14500000000,Satellite,Satellite (Transportable Earth Station)(low power),1
13780000000,14500000000,Satellite,Satellite (Transportable Earth Station)(medium power),1
14000000000,14250000000,,,0
14000000000,14250000000,,,0
14250000000,14300000000,,,0
14250000000,14500000000,Fixed Links,Point-to-Point Fixed Links,1
14300000000,14400000000,Space Science,Radio Navigation Satellite Service,1
14400000000,14470000000,,,0
14470000000,14500000000,Space Science,Radio Astronomy,1
14500000000,14620000000,,,0
14500000000,15350000000,Fixed Links,Point-to-Point Fixed Links,1
14620000000,15230000000,Public sector,Military,1
15350000000,15400000000,Space Science,Earth Exploration Satellite Service (passive),1
15350000000,15400000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
15350000000,15400000000,Space Science,Space Research Service (passive),1
15400000000,15700000000,Aeronautical,Aeronautical Radar,1
15400000000,17700000000,Public sector,Military,1
15500000000,15700000000,Aeronautical,Aircraft,1
16600000000,17100000000,Space Science,Space Research Service (deep space),1
17100000000,17300000000,Licence exempt,Radio Determination,1
17200000000,17300000000,Space Science,Earth Exploration Satellite Service (active),1
17200000000,17300000000,Space Science,Space Research Service (Active),1
17300000000,17700000000,Fixed Links,Point-to-Point Fixed Links,1
17300000000,20200000000,Satellite,Satellite (Permanent Earth Station),1
17700000000,19700000000,Fixed Links,Point-to-Point Fixed Links,1
18600000000,18800000000,Space Science,Earth Exploration Satellite Service (passive),1
18600000000,18800000000,Space Science,Space Research Service (passive),1
19700000000,20200000000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
20200000000,21200000000,Public sector,Military,1
21200000000,21400000000,Space Science,Earth Exploration Satellite Service (passive),1
21200000000,21400000000,Space Science,Space Research Service (passive),1
21200000000,22000000000,Fixed Links,Point-to-Point Fixed Links,1
21200000000,22000000000,Fixed Links,Point-to-Point Fixed Links,1
21650000000,26650000000,Licence exempt,Automotive Short Range Radar (SRR),1
22000000000,22210000000,,,0
22000000000,22210000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
22000000000,23600000000,Fixed Links,Point-to-Point Fixed Links,1
22210000000,22500000000,Space Science,Earth Exploration Satellite Service (passive),1
22210000000,22500000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
22210000000,22500000000,Space Science,Space Research Service (passive),1
22550000000,23150000000,Space Science,Space Research Service (passive),1
22810000000,22860000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
22810000000,22860000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
23600000000,24000000000,Space Science,Earth Exploration Satellite Service (passive),1
23600000000,24000000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
23600000000,24000000000,Space Science,Space Research Service (passive),1
24000000000,24250000000,Amateur,Amateur Radio Full Licence,1
24000000000,24250000000,Amateur,Amateur Radio Intermediate Licence,1
24050000000,24150000000,Licence exempt,Radio Determination,1
24050000000,24150000000,Public sector,Business Radio (Police and Fire),1
24050000000,24250000000,Licence exempt,Transport and Traffic Telematics,1
24050000000,27000000000,Licence exempt,Tank Level Probing Radar (TLPR),1
24100000000,24350000000,Licence exempt,Railway level crossing radar,1
24150000000,24250000000,Licence exempt,Non-Specific Short Range Devices,1
24150000000,24250000000,Licence exempt,Radio Determination,1
24250000000,24350000000,Licence exempt,Radio Determination,1
24250000000,24500000000,Licence exempt,Transport and Traffic Telematics,1
24250000000,24500000000,PMSE,Programme Making and Special Events (Fixed Site),1
24250000000,24500000000,PMSE,Programme Making and Special Events (Link),1
24250000000,24500000000,PMSE,Programme Making and Special Events (Low Power),1
24250000000,26500000000,Mobile and Wireless broadband,Shared Access (Low Power),1
24250000000,26650000000,Licence exempt,Automotive Short Range Radar (SRR),1
24300000000,27700000000,Licence exempt,Radar Level Gauges,1
24500000000,26500000000,Fixed Links,Point-to-Point Fixed Links,1
25500000000,26500000000,,,0
25500000000,26500000000,Space Science,Earth Exploration Satellite Service,1
25500000000,27000000000,Space Science,Standard Frequency and Time Signal Satellite,1
26500000000,27000000000,,,0
26500000000,27000000000,Space Science,Earth Exploration Satellite Service,1
26500000000,27500000000,Public sector,Military,1
27500000000,27818500000,,,0
27500000000,27818500000,Satellite,Earth Stations on Mobile Platforms (ESOMPs),1
27500000000,27818500000,Satellite,HDFSS,1
27500000000,27818500000,Satellite,Satellite (Earth Station)(Non-Fixed Satellite Service),1
27500000000,27818500000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
27500000000,27818500000,Satellite,Satellite (Permanent Earth Station),1
27500000000,27818500000,Satellite,Satellite (Transportable Earth Station)(high power),1
27500000000,27818500000,Satellite,Satellite (Transportable Earth Station)(low power),1
27500000000,27818500000,Satellite,Satellite (Transportable Earth Station)(medium power),1
27818500000,28454500000,Satellite,Satellite (Permanent Earth Station),1
27828500000,28052500000,Fixed Links,Spectrum Access Arqiva (Uplink),1
27828500000,28052500000,N/A,Spectrum Access 10 - 40 GHz Band,0
28052500000,28164500000,Fixed Links,Spectrum Access Telefonica (Uplink),1
28052500000,28164500000,Fixed Links,Spectrum Access Vodafone (Uplink),1
28052500000,28444500000,N/A,Broadband Fixed Wireless Access (28 GHz - Guernsey),0
28052500000,28444500000,N/A,Broadband Fixed Wireless Access (28 GHz - Isle of Man),0
28052500000,28444500000,N/A,Broadband Fixed Wireless Access (28 GHz - Jersey),0
28052500000,28444500000,N/A,Spectrum Access 10 - 40 GHz Band,0
28192500000,28304500000,Fixed Links,FWA Chorus Communications (Uplink),1
28192500000,28304500000,Fixed Links,Spectrum Access Telefonica (Uplink),1
28192500000,28304500000,Fixed Links,Spectrum Access UK Broadband (Uplink),1
28192500000,28304500000,Fixed Links,Spectrum Access Urban Wimax (Uplink),1
28195000000,28304500000,Fixed Links,Spectrum Access Vodafone (Uplink),1
28332500000,28444500000,Fixed Links,Spectrum Access UK Broadband (Uplink),1
28454500000,28826500000,,,0
28454500000,28826500000,Satellite,Earth Stations on Mobile Platforms (ESOMPs),1
28454500000,28826500000,Satellite,HDFSS,1
28454500000,28826500000,Satellite,Satellite (Earth Station)(Non-Fixed Satellite Service),1
28454500000,28826500000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
28454500000,28826500000,Satellite,Satellite (Permanent Earth Station),1
28454500000,28826500000,Satellite,Satellite (Transportable Earth Station)(high power),1
28454500000,28826500000,Satellite,Satellite (Transportable Earth Station)(low power),1
28454500000,28826500000,Satellite,Satellite (Transportable Earth Station)(medium power),1
28500000000,29100000000,Space Science,Earth Exploration Satellite Service,1
28826500000,29462500000,Satellite,Satellite (Permanent Earth Station),1
28836500000,29060500000,Fixed Links,Spectrum Access Arqiva (Downlink),1
28836500000,29060500000,N/A,Spectrum Access 10 - 40 GHz Band,0
29060500000,29172500000,Fixed Links,Spectrum Access Telefonica (Downlink),1
29060500000,29172500000,Fixed Links,Spectrum Access Vodafone (Downlink),1
29060500000,29452500000,N/A,Broadband Fixed Wireless Access (28 GHz - Guernsey),0
29060500000,29452500000,N/A,Broadband Fixed Wireless Access (28 GHz - Isle of Man),0
29060500000,29452500000,N/A,Broadband Fixed Wireless Access (28 GHz - Jersey),0
29060500000,29452500000,N/A,Spectrum Access 10 - 40 GHz Band,0
29100000000,29500000000,Space Science,Earth Exploration Satellite Service,1
29200500000,29312500000,Fixed Links,FWA Chorus Communications (Downlink),1
29200500000,29312500000,Fixed Links,Spectrum Access Telefonica (Downlink),1
29200500000,29312500000,Fixed Links,Spectrum Access UK Broadband (Downlink),1
29200500000,29312500000,Fixed Links,Spectrum Access Vodafone (Downlink),1
29200500000,29312500000,Mobile and Wireless broadband,Spectrum Access Arqiva (Downlink),1
29340500000,29452500000,Fixed Links,Spectrum Access UK Broadband (Downlink),1
29462500000,29500000000,Satellite,Satellite (Earth Station)(Non-Fixed Satellite Service),1
29462500000,30000000000,,,0
29462500000,30000000000,Satellite,Earth Stations on Mobile Platforms (ESOMPs),1
29462500000,30000000000,Satellite,HDFSS,1
29462500000,30000000000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
29462500000,30000000000,Satellite,Satellite (Permanent Earth Station),1
29462500000,30000000000,Satellite,Satellite (Transportable Earth Station)(high power),1
29462500000,30000000000,Satellite,Satellite (Transportable Earth Station)(low power),1
29462500000,30000000000,Satellite,Satellite (Transportable Earth Station)(medium power),1
29500000000,29900000000,Space Science,Earth Exploration Satellite Service,1
29500000000,30000000000,Satellite,Satellite (Earth Station)(Non-Fixed Satellite Service),1
29900000000,30000000000,Space Science,Earth Exploration Satellite Service,1
30000000000,31000000000,Public sector,Military,1
31000000000,31300000000,,,0
31000000000,31300000000,Fixed Links,Point-to-Point Security CCTV Services,1
31000000000,31300000000,Space Science,Standard Frequency and Time Signal Satellite,1
31300000000,31500000000,Space Science,Earth Exploration Satellite Service (passive),1
31300000000,31500000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
31300000000,31500000000,Space Science,Space Research Service (passive),1
31500000000,31800000000,Fixed Links,Point-to-Point Security CCTV Services,1
31500000000,31800000000,Space Science,Earth Exploration Satellite Service (passive),1
31500000000,31800000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
31500000000,31800000000,Space Science,Space Research Service (passive),1
31800000000,32000000000,Space Science,Space Research Service (deep space),1
31815000000,32067000000,Mobile and Wireless broadband,Spectrum Access EE (Uplink),1
31815000000,32571000000,N/A,Spectrum Access 10 - 40 GHz Band,0
32000000000,32300000000,Space Science,Space Research Service (deep space),1
32067000000,32319000000,Fixed Links,Spectrum Access Mobile Broadband Network Limited (Uplink),1
32319000000,32445000000,Mobile and Wireless broadband,Spectrum Access British Telecom (Uplink),1
32445000000,32571000000,Fixed Links,Spectrum Access MLL Telecom (Uplink),1
32627000000,32879000000,Mobile and Wireless broadband,Spectrum Access EE (Downlink),1
32627000000,33383000000,N/A,Spectrum Access 10 - 40 GHz Band,0
32879000000,33131000000,Fixed Links,Spectrum Access Mobile Broadband Network Limited (Downlink),1
33131000000,33257000000,Mobile and Wireless broadband,Spectrum Access British Telecom (Downlink),1
33257000000,33383000000,Fixed Links,Spectrum Access MLL Telecom (Downlink),1
33400000000,36000000000,Public sector,Military,1
34200000000,34700000000,Space Science,Space Research Service (deep space),1
34700000000,35200000000,,,0
35000000000,36000000000,Space Science,Space Research Service (Active),1
35500000000,36000000000,Space Science,Earth Exploration Satellite Service (active),1
36000000000,37000000000,Public sector,Military,1
36000000000,37000000000,Space Science,Earth Exploration Satellite Service (passive),1
36000000000,37000000000,Space Science,Space Research Service (passive),1
37000000000,37500000000,,,0
37000000000,39500000000,Fixed Links,Point-to-Point Fixed Links,1
37500000000,38000000000,,,0
37500000000,38000000000,Space Science,Earth Exploration Satellite Service,1
38000000000,39500000000,Space Science,Earth Exploration Satellite Service,1
39500000000,40000000000,Space Science,Earth Exploration Satellite Service,1
39500000000,40500000000,Public sector,Military,1
40000000000,40500000000,,,0
40000000000,40500000000,Space Science,Earth Exploration Satellite Service,1
40500000000,40750000000,Fixed Links,Spectrum Access Mobile Broadband Network Limited (Uplink),1
40500000000,43500000000,N/A,Spectrum Access 10 - 40 GHz Band,0
40750000000,41000000000,Fixed Links,Spectrum Access MLL Telecom (Uplink),1
41000000000,42000000000,Mobile and Wireless broadband,Spectrum Access UK Broadband (Uplink),1
42000000000,42250000000,Fixed Links,Spectrum Access Mobile Broadband Network Limited (Downlink),1
42250000000,42500000000,Fixed Links,Spectrum Access MLL Telecom (Downlink),1
42500000000,43500000000,Mobile and Wireless broadband,Spectrum Access UK Broadband (Downlink),1
42500000000,43500000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
43500000000,45500000000,Public sector,Military,1
45500000000,47000000000,Space Science,Radio Navigation Satellite Service,1
47000000000,47200000000,Amateur,Amateur Radio Full Licence,1
47000000000,47200000000,Amateur,Amateur Radio Intermediate Licence,1
48000000000,48400000000,PMSE,Programme Making and Special Events (Fixed Site),1
48000000000,48400000000,PMSE,Programme Making and Special Events (Link),1
48000000000,48400000000,PMSE,Programme Making and Special Events (Low Power),1
48940000000,49040000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
49200000000,50200000000,Fixed Links,Point-to-Point Fixed Links,1
50200000000,50400000000,,,0
50200000000,50400000000,Space Science,Earth Exploration Satellite Service (passive),1
50400000000,51200000000,Public sector,Military,1
51200000000,51400000000,Public sector,Business Radio (Police and Fire),1
51400000000,52600000000,Fixed Links,Point-to-Point Fixed Links,1
51400000000,54250000000,Space Science,Radio Astronomy,1
52600000000,54250000000,Space Science,Earth Exploration Satellite Service (passive),1
52600000000,54250000000,Space Science,Space Research Service (passive),1
54250000000,55780000000,Space Science,Earth Exploration Satellite Service (passive),1
54250000000,55780000000,Space Science,Space Research Service (passive),1
55780000000,56900000000,Space Science,Earth Exploration Satellite Service (passive),1
55780000000,56900000000,Space Science,Space Research Service (passive),1
55780000000,57000000000,Fixed Links,Point-to-Point Fixed Links,1
56900000000,57000000000,Space Science,Earth Exploration Satellite Service (passive),1
56900000000,57000000000,Space Science,Space Research Service (passive),1
57000000000,58200000000,Space Science,Earth Exploration Satellite Service (passive),1
57000000000,58200000000,Space Science,Space Research Service (passive),1
57000000000,64000000000,Fixed Links,Fixed Wireless Systems (57.1 - 63.9 GHz),1
57000000000,64000000000,Licence exempt,Non-Specific Short Range Devices,1
57000000000,64000000000,Licence exempt,Tank Level Probing Radar (TLPR),1
57000000000,71000000000,Licence exempt,Wideband Data Transmission Devices,1
57000000000,71000000000,Mobile and Wireless broadband,Spectrum Access (EHF),1
58200000000,59000000000,Space Science,Earth Exploration Satellite Service (passive),1
58200000000,59000000000,Space Science,Radio Astronomy,1
58200000000,59000000000,Space Science,Space Research Service (passive),1
59000000000,59300000000,Space Science,Earth Exploration Satellite Service (passive),1
59000000000,59300000000,Space Science,Space Research Service (passive),1
59000000000,64000000000,Public sector,Military,1
61000000000,61500000000,Licence exempt,Non-Specific Short Range Devices,1
63000000000,64000000000,Licence exempt,Transport and Traffic Telematics,1
64000000000,65000000000,Space Science,Radio Astronomy,1
64000000000,66000000000,Fixed Links,Self co-ordinated links,1
65000000000,66000000000,,,0
65000000000,66000000000,Space Science,Earth Exploration Satellite Service,1
66000000000,71000000000,Space Science,Radio Navigation Satellite Service,1
71000000000,71125000000,Fixed Links,Point-to-Point Fixed Links,1
71000000000,74000000000,Public sector,Military,1
71125000000,73125000000,Fixed Links,Point-to-Point Fixed Links,1
71125000000,73125000000,Fixed Links,Self co-ordinated links,1
73125000000,73375000000,Fixed Links,Point-to-Point Fixed Links,1
73375000000,75875000000,Fixed Links,Self co-ordinated links,1
74000000000,75500000000,,,0
75000000000,85000000000,Licence exempt,Tank Level Probing Radar (TLPR),1
75500000000,76000000000,,,0
75500000000,81000000000,Amateur,Amateur Radio Full Licence,1
75500000000,81000000000,Amateur,Amateur Radio Intermediate Licence,1
76000000000,77000000000,Licence exempt,Transport and Traffic Telematics,1
76000000000,77500000000,,,0
76000000000,77500000000,Space Science,Radio Astronomy,1
77000000000,81000000000,Licence exempt,Automotive Short Range Radar (SRR),1
77000000000,81000000000,Licence exempt,Transport and Traffic Telematics,1
77500000000,78000000000,,,0
77500000000,79000000000,Space Science,Radio Astronomy,1
78000000000,79000000000,,,0
78000000000,79000000000,Public sector,Military,1
79000000000,81000000000,,,0
79000000000,84000000000,Public sector,Military,1
79000000000,86000000000,Space Science,Radio Astronomy,1
81000000000,84000000000,,,0
81125000000,83125000000,Fixed Links,Point-to-Point Fixed Links,1
81125000000,83125000000,Fixed Links,Self co-ordinated links,1
83375000000,85875000000,Fixed Links,Self co-ordinated links,1
86000000000,92000000000,Space Science,Earth Exploration Satellite Service (passive),1
86000000000,92000000000,Space Science,Radio Astronomy,1
86000000000,92000000000,Space Science,Space Research Service (passive),1
92000000000,94000000000,Space Science,Radio Astronomy,1
92000000000,95000000000,Public sector,Military,1
94000000000,94100000000,Space Science,Earth Exploration Satellite Service (active),1
94000000000,94100000000,Space Science,Radio Astronomy,1
94000000000,94100000000,Space Science,Space Research Service (Active),1
94100000000,116250000000,Space Science,Radio Astronomy,1
95000000000,100000000000,Space Science,Radio Navigation Satellite Service,1
100000000000,102000000000,Space Science,Earth Exploration Satellite Service (passive),1
100000000000,102000000000,Space Science,Space Research Service (passive),1
105000000000,109500000000,Space Science,Space Research Service (passive),1
109500000000,111800000000,Space Science,Earth Exploration Satellite Service (passive),1
109500000000,111800000000,Space Science,Space Research Service (passive),1
111800000000,114250000000,Space Science,Space Research Service (passive),1
114250000000,116000000000,Space Science,Earth Exploration Satellite Service (passive),1
114250000000,116000000000,Space Science,Space Research Service (passive),1
116000000000,119980000000,Space Science,Earth Exploration Satellite Service (passive),1
116000000000,122000000000,Mobile and Wireless broadband,Spectrum Access (EHF),1
119980000000,122250000000,Space Science,Earth Exploration Satellite Service (passive),1
119980000000,122250000000,Space Science,Space Research Service (passive),1
122000000000,123000000000,Licence exempt,Non-Specific Short Range Devices,1
122250000000,123000000000,Amateur,Amateur Radio Full Licence,1
122250000000,123000000000,Amateur,Amateur Radio Intermediate Licence,1
123000000000,130000000000,Space Science,Radio Astronomy,1
123000000000,130000000000,Space Science,Radio Navigation Satellite Service,1
130000000000,134000000000,Space Science,Earth Exploration Satellite Service (active),1
130000000000,134000000000,Space Science,Radio Astronomy,1
134000000000,136000000000,Space Science,Radio Astronomy,1
134000000000,141000000000,Amateur,Amateur Radio Intermediate Licence,1
136000000000,148500000000,Space Science,Radio Astronomy,1
148500000000,151500000000,Space Science,Earth Exploration Satellite Service (passive),1
148500000000,151500000000,Space Science,Radio Astronomy,1
148500000000,151500000000,Space Science,Space Research Service (passive),1
151000000000,158500000000,Space Science,Radio Astronomy,1
155500000000,158500000000,Space Science,Earth Exploration Satellite Service (passive),1
155500000000,158500000000,Space Science,Space Research Service (passive),1
164000000000,167000000000,Space Science,Earth Exploration Satellite Service (passive),1
164000000000,167000000000,Space Science,Radio Astronomy,1
164000000000,167000000000,Space Science,Space Research Service (passive),1
174800000000,182000000000,Mobile and Wireless broadband,Spectrum Access (EHF),1
174800000000,182000000000,Space Science,Earth Exploration Satellite Service (passive),1
174800000000,182000000000,Space Science,Space Research Service (passive),1
182000000000,185000000000,Space Science,Earth Exploration Satellite Service (passive),1
182000000000,185000000000,Space Science,Radio Astronomy,1
182000000000,185000000000,Space Science,Space Research Service (passive),1
185000000000,190000000000,Space Science,Earth Exploration Satellite Service (passive),1
185000000000,190000000000,Space Science,Space Research Service (passive),1
190000000000,191800000000,Space Science,Earth Exploration Satellite Service (passive),1
190000000000,191800000000,Space Science,Space Research Service (passive),1
191800000000,200000000000,Space Science,Radio Navigation Satellite Service,1
200000000000,202000000000,Space Science,Earth Exploration Satellite Service (passive),1
200000000000,202000000000,Space Science,Space Research Service (passive),1
200000000000,217000000000,Space Science,Radio Astronomy,1
202000000000,209000000000,Space Science,Earth Exploration Satellite Service (passive),1
202000000000,209000000000,Space Science,Space Research Service (passive),1
217000000000,226000000000,Space Science,Space Research Service (passive),1
226000000000,231500000000,Space Science,Earth Exploration Satellite Service (passive),1
226000000000,231500000000,Space Science,Radio Astronomy,1
226000000000,231500000000,Space Science,Space Research Service (passive),1
235000000000,238000000000,Space Science,Earth Exploration Satellite Service (passive),1
235000000000,238000000000,Space Science,Space Research Service (passive),1
238000000000,240000000000,Space Science,Radio Navigation Satellite Service,1
241000000000,248000000000,Space Science,Radio Astronomy,1
241000000000,250000000000,Amateur,Amateur Radio Full Licence,1
241000000000,250000000000,Amateur,Amateur Radio Intermediate Licence,1
244000000000,246000000000,Licence exempt,Non-Specific Short Range Devices,1
248000000000,250000000000,Space Science,Radio Astronomy,1
250000000000,252000000000,Space Science,Earth Exploration Satellite Service (passive),1
250000000000,252000000000,Space Science,Space Research Service (passive),1
250000000000,275000000000,Space Science,Radio Astronomy,1
252000000000,265000000000,Space Science,Radio Navigation Satellite Service,1
